signal,n_trades,mean_return,excess_return_vs_matched_random,p_value_vs_matched_random,ict.sweep_penetration_atr,ict.sweep_confirm_bars,ict.gap_min_atr
ict_sweep_buyside_bearish,5083,-0.006618520508454297,0.00018950045093203086,0.40917692812580486,0.1,3,0.25
ict_sweep_sellside_bullish,3779,0.009292978826545086,0.0023834313826824735,0.007913364816295307,0.1,3,0.25
ict_nwog_gap_down,9300,-0.007556558236292663,-0.0005812856817639066,0.8296512605209805,0.1,6,0.05
ict_nwog_gap_up,10453,0.0072416955508049306,0.00026214451818659754,0.3242201117468405,0.1,6,0.05
ict_sweep_buyside_bearish,5148,-0.006613791365346792,0.00020408073833407675,0.40169949885776735,0.1,6,0.05
ict_sweep_sellside_bullish,3838,0.009446442169569929,0.0025421148538384243,0.004709173015675045,0.1,6,0.05
ict_nwog_gap_down,7771,-0.0074609541369354895,-0.0005185703297956677,0.7806794361952906,0.1,6,0.1
ict_nwog_gap_up,8734,0.006989213289592376,3.806788000517217e-05,0.47592891614316346,0.1,6,0.1
ict_sweep_buyside_bearish,5148,-0.006613791365346792,0.00020408073833407675,0.40169949885776735,0.1,6,0.1
ict_sweep_sellside_bullish,3838,0.009446442169569929,0.0025421148538384243,0.004709173015675045,0.1,6,0.1
ict_nwog_gap_down,4184,-0.007227002353645741,-0.0003213373757621355,0.6364984230547531,0.1,6,0.25
ict_nwog_gap_up,4675,0.0067431591525959666,-0.00015946896271403985,0.5728025654279522,0.1,6,0.25
ict_sweep_buyside_bearish,5148,-0.006613791365346792,0.00020408073833407675,0.40169949885776735,0.1,6,0.25
ict_sweep_sellside_bullish,3838,0.009446442169569929,0.0025421148538384243,0.004709173015675045,0.1,6,0.25
ict_nwog_gap_down,9300,-0.007556558236292663,-0.0005812856817639066,0.8296512605209805,0.25,1,0.05
ict_nwog_gap_up,10453,0.0072416955508049306,0.00026214451818659754,0.3242201117468405,0.25,1,0.05
ict_sweep_buyside_bearish,3831,-0.0058744371469035715,0.0009155463370658897,0.16984719010255594,0.25,1,0.05
ict_sweep_sellside_bullish,2875,0.008828987489483978,0.0019501074630600872,0.04222458221753426,0.25,1,0.05
ict_nwog_gap_down,7771,-0.0074609541369354895,-0.0005185703297956677,0.7806794361952906,0.25,1,0.1
ict_nwog_gap_up,8734,0.006989213289592376,3.806788000517217e-05,0.47592891614316346,0.25,1,0.1
ict_sweep_buyside_bearish,3831,-0.0058744371469035715,0.0009155463370658897,0.16984719010255594,0.25,1,0.1
ict_sweep_sellside_bullish,2875,0.008828987489483978,0.0019501074630600872,0.04222458221753426,0.25,1,0.1
ict_nwog_gap_down,4184,-0.007227002353645741,-0.0003213373757621355,0.6364984230547531,0.25,1,0.25
ict_nwog_gap_up,4675,0.0067431591525959666,-0.00015946896271403985,0.5728025654279522,0.25,1,0.25
ict_sweep_buyside_bearish,3831,-0.0058744371469035715,0.0009155463370658897,0.16984719010255594,0.25,1,0.25
ict_sweep_sellside_bullish,2875,0.008828987489483978,0.0019501074630600872,0.04222458221753426,0.25,1,0.25
ict_nwog_gap_down,9300,-0.007556558236292663,-0.0005812856817639066,0.8296512605209805,0.25,3,0.05
ict_nwog_gap_up,10453,0.0072416955508049306,0.00026214451818659754,0.3242201117468405,0.25,3,0.05
ict_sweep_buyside_bearish,3986,-0.006227945966601381,0.0005740228053981392,0.2706649712960655,0.25,3,0.05
ict_sweep_sellside_bullish,2994,0.008888587380150864,0.0019965831147496123,0.03593315470761973,0.25,3,0.05
ict_nwog_gap_down,7771,-0.0074609541369354895,-0.0005185703297956677,0.7806794361952906,0.25,3,0.1
ict_nwog_gap_up,8734,0.006989213289592376,3.806788000517217e-05,0.47592891614316346,0.25,3,0.1
ict_sweep_buyside_bearish,3986,-0.006227945966601381,0.0005740228053981392,0.2706649712960655,0.25,3,0.1
ict_sweep_sellside_bullish,2994,0.008888587380150864,0.0019965831147496123,0.03593315470761973,0.25,3,0.1
ict_nwog_gap_down,4184,-0.007227002353645741,-0.0003213373757621355,0.6364984230547531,0.25,3,0.25
ict_nwog_gap_up,4675,0.0067431591525959666,-0.00015946896271403985,0.5728025654279522,0.25,3,0.25
ict_sweep_buyside_bearish,3986,-0.006227945966601381,0.0005740228053981392,0.2706649712960655,0.25,3,0.25
