signal,n_trades,mean_return,excess_return_vs_matched_random,p_value_vs_matched_random,ict.ob_swing_len,ict.mss_pivot_len
smc_swing_bos_bullish,275,0.012206405823636234,0.0050690290112282285,0.07852787821669886,10,3
smc_swing_choch_bearish,168,0.003048274478786804,0.00989252357985805,0.018455499327838885,10,3
smc_swing_choch_bullish,165,0.0048771221006292335,-0.0019799141162474805,0.6600154000347649,10,3
smc_swing_ob_bearish_formed,238,0.0024709268521346884,0.009374033294855864,0.011795706619165175,10,3
smc_swing_ob_bearish_mitigated,234,0.005981760718047573,-0.0009248730612089291,0.5875960409331018,10,3
smc_swing_ob_bullish_formed,440,0.009457924427508608,0.0024256753384248354,0.19903037327434053,10,3
smc_swing_ob_bullish_mitigated,410,-0.010761670184265716,-0.0037939496167895817,0.898487935678928,10,3
ict_bos_bearish,2558,-0.013049065898080853,-0.0060651414344628585,0.9999994780114311,10,5
ict_bos_bullish,4884,0.0031430596350568493,-0.003792657163908985,0.9999963704018686,10,5
ict_bpr_bearish,1640,-0.006735082664622869,0.00023237547909580464,0.4394731348239871,10,5
ict_bpr_bullish,1678,0.00458730447578707,-0.0024652533918356227,0.9479387228558915,10,5
ict_displacement_bearish,11550,-0.009106801171827278,-0.0021966823632022445,0.9999723918687764,10,5
ict_displacement_bullish,12779,0.004862000971029558,-0.002132092324781833,0.9999843366647438,10,5
ict_fvg_bearish_formed,5553,-0.008294811332114712,-0.0014026334284174581,0.9581897662586799,10,5
ict_fvg_bullish_formed,6815,0.004402659905504742,-0.0026031032345194575,0.9998433257600174,10,5
ict_liquidity_buyside_pool_formed,3608,0.009257161517212419,0.0025441165437047547,0.004439188871121,10,5
ict_liquidity_buyside_swept,2774,0.006284540326023712,-0.00043909391054587285,0.6535760031138567,10,5
ict_liquidity_sellside_pool_formed,3191,-0.008217001961922864,-0.0014066997141683598,0.9049726406299119,10,5
ict_liquidity_sellside_swept,2059,-0.010554526279823171,-0.003722827266866709,0.9968896453181603,10,5
ict_mss_bearish,2245,-0.009291502621321569,-0.0023110145564710196,0.9630079144188252,10,5
ict_mss_bullish,2246,0.005470294675150915,-0.0015153038839450274,0.8791278374172605,10,5
ict_nwog_gap_down,7771,-0.0074609541369354895,-0.0005185703297956677,0.7806794361952906,10,5
ict_nwog_gap_up,8734,0.006989213289592376,3.806788000517217e-05,0.47592891614316346,10,5
ict_ob_bearish_formed,1381,-0.0078080616916396265,-0.0008239211895681954,0.6874475766988188,10,5
ict_ob_bearish_mitigated,1227,0.005353344199216388,-0.0016516043331321131,0.8237051458013775,10,5
ict_ob_bullish_formed,1967,0.004347032237584844,-0.0026532812467594596,0.9733623640151646,10,5
ict_ob_bullish_mitigated,1277,-0.00977303889800904,-0.0029197457008298703,0.9537142957470778,10,5
ict_sweep_buyside_bearish,3986,-0.006227945966601381,0.0005740228053981392,0.2706649712960655,10,5
ict_sweep_sellside_bullish,2994,0.008888587380150864,0.0019965831147496123,0.03593315470761973,10,5
ict_volume_imbalance_bearish,5045,-0.009415081939126553,-0.0025412157087679388,0.9987350022215988,10,5
ict_volume_imbalance_bullish,6878,0.003829990662614132,-0.002981997350039685,0.9999910864480701,10,5
smc_equal_highs,608,-0.006723847601595759,0.00015417538021324142,0.4750942388654891,10,5
smc_equal_lows,566,0.004623623441085305,-0.00262050862856175,0.8353347025597642,10,5
smc_fvg_bearish_formed,4076,-0.011046893020218933,-0.0041614177766649725,0.9999935601008247,10,5
smc_fvg_bullish_formed,4184,0.006487487426096057,-0.0005844099253412656,0.7279269880887392,10,5
smc_internal_bos_bearish,1048,-0.012834171710443118,-0.005940465272575376,0.998791706819664,10,5
smc_internal_bos_bullish,1981,0.002136678027645868,-0.004854754883838899,0.9998140203473082,10,5
smc_internal_choch_bearish,1594,-0.0070261495623035975,-5.0713106236772824e-05,0.5131412946459099,10,5
smc_internal_choch_bullish,1600,0.007732525235902663,0.0007627751705171744,0.3096378231321552,10,5
smc_internal_ob_bearish_formed,2642,-0.009330013003352127,-0.0023869963274036387,0.9763018996164368,10,5
smc_internal_ob_bearish_mitigated,2606,0.007649561175434465,0.0006997404061540227,0.28192516135872825,10,5
smc_internal_ob_bullish_formed,3581,0.004636916936668732,-0.002344828023473156,0.9897501410791308,10,5
smc_internal_ob_bullish_mitigated,3329,-0.006646380873423673,0.0003058950274887236,0.38569537128797365,10,5
smc_swing_bos_bearish,70,0.001085292548169611,0.00812965661085061,0.16380744521106422,10,5
smc_swing_bos_bullish,275,0.012206405823636234,0.0050690290112282285,0.07852787821669886,10,5
smc_swing_choch_bearish,168,0.003048274478786804,0.00989252357985805,0.018455499327838885,10,5
smc_swing_choch_bullish,165,0.0048771221006292335,-0.0019799141162474805,0.6600154000347649,10,5
smc_swing_ob_bearish_formed,238,0.0024709268521346884,0.009374033294855864,0.011795706619165175,10,5
smc_swing_ob_bearish_mitigated,234,0.005981760718047573,-0.0009248730612089291,0.5875960409331018,10,5
smc_swing_ob_bullish_formed,440,0.009457924427508608,0.0024256753384248354,0.19903037327434053,10,5
smc_swing_ob_bullish_mitigated,410,-0.010761670184265716,-0.0037939496167895817,0.898487935678928,10,5
ict_bos_bearish,2321,-0.013517635934696456,-0.00651251040056273,0.9999996611165942,10,7
ict_bos_bullish,4640,0.0038692473224344716,-0.0030937481676695747,0.9998121202148799,10,7
ict_bpr_bearish,1631,-0.006105090607766321,0.0008535229418502573,0.28800784914960964,10,7
ict_bpr_bullish,1708,0.004638787153461196,-0.002426910361131714,0.9466797266281536,10,7
ict_displacement_bearish,11663,-0.008792576113848259,-0.0018843598480766154,0.999748874086137,10,7
ict_displacement_bullish,12897,0.0046962361546341045,-0.002295966781735233,0.9999966764942544,10,7
ict_fvg_bearish_formed,5572,-0.007899262707728373,-0.0010152211878068059,0.8953122904240041,10,7
ict_fvg_bullish_formed,6865,0.004352888025246467,-0.0026544282014481953,0.9998875622724739,10,7
ict_liquidity_buyside_pool_formed,2517,0.008681808628664167,0.002015560299619837,0.04136387210967158,10,7
ict_liquidity_buyside_swept,1995,0.006343416580604409,-0.00034510462660069813,0.603959621132641,10,7
ict_liquidity_sellside_pool_formed,2130,-0.009206725541365047,-0.0024071456680121997,0.9653831717364042,10,7
ict_liquidity_sellside_swept,1419,-0.01144310750501964,-0.004668707378539247,0.9977435853929565,10,7
ict_mss_bearish,1854,-0.008318552950696488,-0.0013549166117670392,0.8291958547879271,10,7
